,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2123969.4,0,1,0,0,1,0,1,0,4,4,0,0,0,0,1,0,1,0,1,0,5,3,1,0,3,1,1,0,0,0,0,0
2124069.4,0,0,0,1,1,0,0,0,3,8,0,0,0,0,1,1,1,0,0,0,8,2,2,0,3,0,2,0,0,0,0,0
2124169.4,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,5,1,2,0,2,0,2,0,0,0,0,0
2124269.4,1,2,0,1,1,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,5,4,3,0,1,0,3,0,0,0,0,0
2124369.4,0,2,0,0,1,1,0,0,3,4,0,1,0,0,0,1,0,0,1,0,4,4,1,0,2,1,0,0,0,0,0,0
2124469.4,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,1,1,0,1,0,5,3,3,0,1,0,2,0,0,0,0,0
2124569.4,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2,0,0,0,0,0
2124669.4,0,1,0,1,3,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0
2124769.4,0,3,0,0,2,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,2,2,3,0,0,0,1,0,0,0,0,0
2124869.4,0,2,0,0,3,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
2124969.4,0,0,0,0,2,0,1,0,5,3,0,0,0,0,0,1,1,0,0,0,7,1,2,0,1,0,1,0,0,0,0,0
2125069.4,0,0,0,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0
2125169.4,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0
2125269.4,0,1,0,0,3,1,0,0,3,4,0,0,0,0,0,0,1,0,1,0,2,2,3,0,1,0,0,0,0,0,0,0
2125369.4,0,0,0,0,2,0,1,0,4,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
2125469.4,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
2125569.4,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0
2125669.4,0,1,0,0,2,0,0,0,3,5,0,2,0,0,0,1,0,0,0,0,3,3,2,0,0,0,1,0,0,0,0,0
2125769.4,0,0,0,0,2,1,1,0,5,5,0,0,0,0,0,1,2,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0
2125869.4,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0
2125969.4,0,1,0,0,2,0,1,0,6,2,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0
2126069.4,0,0,0,0,2,0,0,0,14,3,0,0,0,0,0,1,3,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0
2126169.4,0,1,0,0,3,1,1,0,11,3,0,1,0,0,0,1,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
